plant_month,total_trees,species,care_taker,address,site_info
2018-08-01 00:00:00 UTC,1,::,Private,3990 Washington St,Side Yard : Yard
2018-08-01 00:00:00 UTC,1,::,Private,3990 Washington St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,2,::,Private,2518 Buchanan St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,5,Tree(s) ::,Private,210 Church St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,1,Tree(s) ::,Private,1501 Sacramento St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,3,Tree(s) ::,Private,242 Church St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,1,Ulmus parvifolia :: Chinese Elm,Private,30 Valley St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,1,Ginkgo biloba :: Maidenhair Tree,Private,539 36th Ave,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,1,Prunus cerasifera :: Cherry Plum,Private,1450 17th St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,1,Afrocarpus gracilior :: Fern Pine,Private,358 22nd Ave,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,1,Jacaranda mimosifolia :: Jacaranda,Private,517 Bartlett St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,3,Liriodendron tulipifera :: Tulip Tree,Private,435 Sacramento St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,1,Tristaniopsis laurina :: Swamp Myrtle,Private,8 Springfield Dr,Sidewalk: Property side : Yard
2018-08-01 00:00:00 UTC,2,Pittosporum undulatum :: Victorian Box,Private,221 Jackson St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,1,Pittosporum undulatum :: Victorian Box,Private,844 Duncan St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,1,Pittosporum undulatum :: Victorian Box,Private,647 Masonic Ave,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,2,Corymbia ficifolia :: Red Flowering Gum,Private,477 Hickory St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,1,Arbutus 'Marina' :: Hybrid Strawberry Tree,Private,2187 21st Ave,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,1,Arbutus 'Marina' :: Hybrid Strawberry Tree,Private,3934 Washington St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,3,Leptospermum laevigatum :: Australian Tea Tree,Private,3512 16th St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,2,Platanus x hispanica :: Sycamore: London Plane,Private,2190X Market St,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,1,Ginkgo biloba 'Princeton Sentry' :: Princeton Sentry Maidenhair,Private,21 Rosemont Pl,Sidewalk: Curb side : Cutout
2018-08-01 00:00:00 UTC,3,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Private,281 Geary St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,2,::,Private,32 Clifford Ter,Sidewalk: Property side : Cutout
2019-06-01 00:00:00 UTC,1,Tree(s) ::,Private,2 Santa Paula Ave,Sidewalk: Curb side : Yard
2019-06-01 00:00:00 UTC,1,Tree(s) ::,Private,320 Santa Clara Ave,Sidewalk: Curb side : Yard
2019-06-01 00:00:00 UTC,1,Tree(s) ::,Private,135 Saint Francis Blvd,Sidewalk: Curb side : Yard
2019-06-01 00:00:00 UTC,1,Tree(s) ::,Private,45 Yerba Buena Ave,Sidewalk: Curb side : Yard
2019-06-01 00:00:00 UTC,1,Tree(s) ::,Private,65 San Benito Way,Sidewalk: Curb side : Yard
2019-06-01 00:00:00 UTC,1,Tree(s) ::,Private,354 Santa Clara Ave,Sidewalk: Curb side : Yard
2019-06-01 00:00:00 UTC,2,Magnolia spp :: Magnolia,Private,222 Eucalyptus Dr,Sidewalk: Property side : Yard
2019-06-01 00:00:00 UTC,1,Prunus cerasifera :: Cherry Plum,Private,2221 Webster St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Hymenosporum flavum :: Sweetshade,Private,1000 Sutter St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Cordyline australis :: Dracena Palm,Private,1920 Jefferson St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Lagunaria patersonii :: Primrose Tree,Private,1633 Noriega St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Tristaniopsis laurina :: Swamp Myrtle,Private,2450 Irving St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Tristaniopsis laurina :: Swamp Myrtle,Private,2230 Irving St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Tristaniopsis laurina :: Swamp Myrtle,Private,2539 Irving St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Tristaniopsis laurina :: Swamp Myrtle,Private,563 Alvarado St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Tristaniopsis laurina :: Swamp Myrtle,Private,2511 Irving St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Tristaniopsis laurina :: Swamp Myrtle,Private,2315 Irving St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Tristaniopsis laurina :: Swamp Myrtle,Private,1838 Irving St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Tristaniopsis laurina :: Swamp Myrtle,Private,2333 Irving St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Pittosporum undulatum :: Victorian Box,Private,2272 Bay St,Sidewalk: Curb side : Cutout
2019-06-01 00:00:00 UTC,1,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,Private,1270 Church St,Sidewalk: Curb side : Cutout
2019-02-01 00:00:00 UTC,2,Tree(s) ::,Private,65 Buena Vista Ave East,Sidewalk: Curb side : Cutout
2019-02-01 00:00:00 UTC,1,Tree(s) ::,Private,232 Stratford Dr,Sidewalk: Property side : Cutout
2019-02-01 00:00:00 UTC,1,Tree(s) ::,Private,3941 Sacramento St,Sidewalk: Curb side : Cutout
2019-02-01 00:00:00 UTC,6,Acer rubrum :: Red Maple,SFUSD,3401X 16th St,Side Yard : Yard
2019-02-01 00:00:00 UTC,5,Olea europaea :: Olive Tree,Private,1490x Green St,Sidewalk: Curb side : Cutout
2019-02-01 00:00:00 UTC,1,Ficus rubiginosa :: Port Jackson Fig,Private,1805 FILLMORE ST,Sidewalk: Curb side : Cutout
